implementation,imageSize,threadCount,gcCountDelta,gcTimeMsDelta,avgSystemLoad
"Sequential","Small(640x480)",1,5,8,3.4556
"ManualThreads(t=1)","Small(640x480)",1,4,6,3.4556
"ThreadPool(t=1)","Small(640x480)",1,3,4,3.4519
"CompletableFuture(t=1)","Small(640x480)",1,2,1,3.4189
"ManualThreads(t=2)","Small(640x480)",2,2,3,3.4189
"ThreadPool(t=2)","Small(640x480)",2,1,1,3.4189
"CompletableFuture(t=2)","Small(640x480)",2,2,3,3.4189
"ManualThreads(t=4)","Small(640x480)",4,2,1,3.4189
"ThreadPool(t=4)","Small(640x480)",4,1,1,3.4189
"CompletableFuture(t=4)","Small(640x480)",4,2,2,3.4189
"ManualThreads(t=8)","Small(640x480)",8,1,1,3.4189
"ThreadPool(t=8)","Small(640x480)",8,1,0,3.4189
"CompletableFuture(t=8)","Small(640x480)",8,2,2,3.4189
"ManualThreads(t=11)","Small(640x480)",11,2,1,3.4189
"ThreadPool(t=11)","Small(640x480)",11,1,1,3.4189
"CompletableFuture(t=11)","Small(640x480)",11,1,1,3.4189
"ManualThreads(t=16)","Small(640x480)",16,2,1,3.4189
"ThreadPool(t=16)","Small(640x480)",16,2,2,3.4189
"CompletableFuture(t=16)","Small(640x480)",16,1,1,3.4189
"ForkJoin(threshold=10)","Small(640x480)",11,2,2,3.4189
"ForkJoin(threshold=50)","Small(640x480)",11,1,1,3.4189
"ForkJoin(threshold=200)","Small(640x480)",11,2,2,3.4189
"Sequential","Medium(1920x1080)",1,3,34,3.4189
"ManualThreads(t=1)","Medium(1920x1080)",1,4,31,3.4189
"ThreadPool(t=1)","Medium(1920x1080)",1,2,18,3.4189
"CompletableFuture(t=1)","Medium(1920x1080)",1,10,57,3.4189
"ManualThreads(t=2)","Medium(1920x1080)",2,6,36,3.4189
"ThreadPool(t=2)","Medium(1920x1080)",2,7,31,3.4189
"CompletableFuture(t=2)","Medium(1920x1080)",2,7,42,3.4189
"ManualThreads(t=4)","Medium(1920x1080)",4,5,4,3.4189
"ThreadPool(t=4)","Medium(1920x1080)",4,5,19,3.4189
"CompletableFuture(t=4)","Medium(1920x1080)",4,6,39,3.4189
"ManualThreads(t=8)","Medium(1920x1080)",8,11,37,3.4189
"ThreadPool(t=8)","Medium(1920x1080)",8,5,20,3.4189
"CompletableFuture(t=8)","Medium(1920x1080)",8,5,12,3.4189
"ManualThreads(t=11)","Medium(1920x1080)",11,7,53,4.1607
"ThreadPool(t=11)","Medium(1920x1080)",11,6,34,4.3462
"CompletableFuture(t=11)","Medium(1920x1080)",11,5,30,4.3462
"ManualThreads(t=16)","Medium(1920x1080)",16,7,37,4.3462
"ThreadPool(t=16)","Medium(1920x1080)",16,2,6,4.3462
"CompletableFuture(t=16)","Medium(1920x1080)",16,4,17,4.3462
"ForkJoin(threshold=10)","Medium(1920x1080)",11,6,25,4.3462
"ForkJoin(threshold=50)","Medium(1920x1080)",11,6,29,4.3462
"ForkJoin(threshold=200)","Medium(1920x1080)",11,4,14,4.3462
"Sequential","Large(4096x2160)",1,13,354,4.3462
"ManualThreads(t=1)","Large(4096x2160)",1,12,239,4.3462
"ThreadPool(t=1)","Large(4096x2160)",1,13,211,4.7988
"CompletableFuture(t=1)","Large(4096x2160)",1,16,276,4.7988
"ManualThreads(t=2)","Large(4096x2160)",2,15,398,4.7988
"ThreadPool(t=2)","Large(4096x2160)",2,14,327,4.7473
"CompletableFuture(t=2)","Large(4096x2160)",2,14,388,4.7344
"ManualThreads(t=4)","Large(4096x2160)",4,12,199,4.7344
"ThreadPool(t=4)","Large(4096x2160)",4,10,228,4.7344
"CompletableFuture(t=4)","Large(4096x2160)",4,10,295,5.3159
"ManualThreads(t=8)","Large(4096x2160)",8,17,417,5.3159
"ThreadPool(t=8)","Large(4096x2160)",8,11,598,5.3159
"CompletableFuture(t=8)","Large(4096x2160)",8,10,281,6.0112
"ManualThreads(t=11)","Large(4096x2160)",11,11,112,6.0112
"ThreadPool(t=11)","Large(4096x2160)",11,10,317,6.0112
"CompletableFuture(t=11)","Large(4096x2160)",11,6,120,6.0112
"ManualThreads(t=16)","Large(4096x2160)",16,14,185,7.3716
"ThreadPool(t=16)","Large(4096x2160)",16,10,242,7.3716
"CompletableFuture(t=16)","Large(4096x2160)",16,12,601,7.3716
"ForkJoin(threshold=10)","Large(4096x2160)",11,11,388,7.3716
"ForkJoin(threshold=50)","Large(4096x2160)",11,10,291,7.6621
"ForkJoin(threshold=200)","Large(4096x2160)",11,11,315,7.6621
