implementation,imageSize,threadCount,heapBeforeBytes,heapAfterBytes,heapDeltaBytes
"Sequential","Small(640x480)",1,24586408,94169408,69583000
"ManualThreads(t=1)","Small(640x480)",1,24661208,62117680,37456472
"ThreadPool(t=1)","Small(640x480)",1,24673240,58227672,33554432
"CompletableFuture(t=1)","Small(640x480)",1,24680816,36209888,11529072
"ManualThreads(t=2)","Small(640x480)",2,24678712,63571624,38892912
"ThreadPool(t=2)","Small(640x480)",2,24680840,80807432,56126592
"CompletableFuture(t=2)","Small(640x480)",2,24680976,74675760,49994784
"ManualThreads(t=4)","Small(640x480)",4,24679000,47219824,22540824
"ThreadPool(t=4)","Small(640x480)",4,24682344,111152072,86469728
"CompletableFuture(t=4)","Small(640x480)",4,24679192,45216392,20537200
"ManualThreads(t=8)","Small(640x480)",8,24679624,95409160,70729536
"ThreadPool(t=8)","Small(640x480)",8,24684640,83339392,58654752
"CompletableFuture(t=8)","Small(640x480)",8,24684768,60639024,35954256
"ManualThreads(t=11)","Small(640x480)",11,24679936,46648576,21968640
"ThreadPool(t=11)","Small(640x480)",11,24687240,102945288,78258048
"CompletableFuture(t=11)","Small(640x480)",11,24685784,61941320,37255536
"ManualThreads(t=16)","Small(640x480)",16,35753584,47013776,11260192
"ThreadPool(t=16)","Small(640x480)",16,24683880,77306376,52622496
"CompletableFuture(t=16)","Small(640x480)",16,24683408,71532176,46848768
"ForkJoin(threshold=10)","Small(640x480)",11,24688376,46685224,21996848
"ForkJoin(threshold=50)","Small(640x480)",11,24689352,77380672,52691320
"ForkJoin(threshold=200)","Small(640x480)",11,24689448,45671816,20982368
"Sequential","Medium(1920x1080)",1,88636072,535972856,447336784
"ManualThreads(t=1)","Medium(1920x1080)",1,88636216,380140344,291504128
"ThreadPool(t=1)","Medium(1920x1080)",1,88638488,372251712,283613224
"CompletableFuture(t=1)","Medium(1920x1080)",1,88638584,533535688,444897104
"ManualThreads(t=2)","Medium(1920x1080)",2,88636504,381980632,293344128
"ThreadPool(t=2)","Medium(1920x1080)",2,88638552,420249240,331610688
"CompletableFuture(t=2)","Medium(1920x1080)",2,88639472,365463496,276824024
"ManualThreads(t=4)","Medium(1920x1080)",4,88636792,160330328,71693536
"ThreadPool(t=4)","Medium(1920x1080)",4,88639544,400692120,312052576
"CompletableFuture(t=4)","Medium(1920x1080)",4,88640960,372014544,283373584
"ManualThreads(t=8)","Medium(1920x1080)",8,88637080,267734576,179097496
"ThreadPool(t=8)","Medium(1920x1080)",8,88641720,412915952,324274232
"CompletableFuture(t=8)","Medium(1920x1080)",8,88637336,399148680,310511344
"ManualThreads(t=11)","Medium(1920x1080)",11,88637432,543708736,455071304
"ThreadPool(t=11)","Medium(1920x1080)",11,88645704,510378808,421733104
"CompletableFuture(t=11)","Medium(1920x1080)",11,88645800,447981624,359335824
"ManualThreads(t=16)","Medium(1920x1080)",16,88637720,440958208,352320488
"ThreadPool(t=16)","Medium(1920x1080)",16,88648296,428386920,339738624
"CompletableFuture(t=16)","Medium(1920x1080)",16,88647560,369657272,281009712
"ForkJoin(threshold=10)","Medium(1920x1080)",11,88638008,358224704,269586696
"ForkJoin(threshold=50)","Medium(1920x1080)",11,88638104,367735520,279097416
"ForkJoin(threshold=200)","Medium(1920x1080)",11,88638200,689075800,600437600
"Sequential","Large(4096x2160)",1,332558056,2003630280,1671072224
"ManualThreads(t=1)","Large(4096x2160)",1,332558152,1641101208,1308543056
"ThreadPool(t=1)","Large(4096x2160)",1,332560424,1670331504,1337771080
"CompletableFuture(t=1)","Large(4096x2160)",1,332559480,1511141696,1178582216
"ManualThreads(t=2)","Large(4096x2160)",2,332558440,2062564792,1730006352
"ThreadPool(t=2)","Large(4096x2160)",2,332559960,1697733032,1365173072
"CompletableFuture(t=2)","Large(4096x2160)",2,332561688,1217488424,884926736
"ManualThreads(t=4)","Large(4096x2160)",4,332559040,1255234416,922675376
"ThreadPool(t=4)","Large(4096x2160)",4,332563080,1918009672,1585446592
"CompletableFuture(t=4)","Large(4096x2160)",4,332563208,2576504904,2243941696
"ManualThreads(t=8)","Large(4096x2160)",8,332559328,1717302352,1384743024
"ThreadPool(t=8)","Large(4096x2160)",8,332564552,3235021952,2902457400
"CompletableFuture(t=8)","Large(4096x2160)",8,332563120,2280815584,1948252464
"ManualThreads(t=11)","Large(4096x2160)",11,332559616,1712483520,1379923904
"ThreadPool(t=11)","Large(4096x2160)",11,336760872,2641528576,2304767704
"CompletableFuture(t=11)","Large(4096x2160)",11,332564440,1821541448,1488977008
"ManualThreads(t=16)","Large(4096x2160)",16,332559904,1693611328,1361051424
"ThreadPool(t=16)","Large(4096x2160)",16,332570960,2662499872,2329928912
"CompletableFuture(t=16)","Large(4096x2160)",16,332568096,3279063568,2946495472
"ForkJoin(threshold=10)","Large(4096x2160)",11,332560496,2641524848,2308964352
"ForkJoin(threshold=50)","Large(4096x2160)",11,332560592,2878503120,2545942528
"ForkJoin(threshold=200)","Large(4096x2160)",11,332560688,2641525040,2308964352
